id,text,label,reader_polarity,writer_polarity,user_id,split,text_orig,bertscore_p,bertscore_r,bertscore_f1
wrime_28282,修論の謝辞で、bitFlyerの皆様に学費を援助してくださり、厚くお礼申し上げます。,pos,2,1,66,train,修論の謝辞で学費を援助してくださったbitFlyerの皆様に厚く御礼申し上げたい,0.92361605,0.92776775,0.92568725
wrime_7110,PUBGモバイル」がサービスを停止したら、泣きます。,neg,-1,-1,11,train,PUBGモバイル、サービス停止したら泣くわ,0.8717545,0.8831149,0.8773979
wrime_24850,昨日は早く店を閉めたのに、睡眠が足りなかったので、ボーッとしています。今日も仕事ですが、ね、へっへっへ。,neg,-1,0,59,train,昨夜は早く店じまいしたのに睡眠が足りず、ボーッとしている。きょうも仕事なんですがねへっへっへ。,0.92170954,0.9219001,0.92180485
wrime_21133,石原さとみさんが、失恋ショコラティエで、とてもかわいいです。涙をたくさん流しています。,pos,2,1,45,train,失恋ショコラティエの石原さとみが可愛すぎて滝のような涙を流してる,0.8323778,0.8323069,0.8323423
wrime_31042,寒い日が続いて、頭が痛いし、眠いです。,neg,-1,-1,74,train,最強寒波すぎて頭痛い、ねむい,0.7587907,0.75535166,0.75706726
wrime_34768,フィンランドには、人の数だけ幸せの形があります。そして、サウナの数だけ安らぎがあります。,pos,1,1,80,train,"フィンランドはひとの数だけ幸せの形があります。
そして、サウナの数だけ安らぎがあります",0.9660059,0.9662588,0.9661323
wrime_5591,会社に恩義を感じるから、会社を擁護する姿勢を取るのは、問題ないとはいえないです。 会社に対する恩と、今回の騒動についての感想は、別の問題です。,neg,-1,-1,9,train,"いやいや、

言いたいことはあるけども会社に恩義を感じているから会社に対して擁護の姿勢を取る

ほうがやばくないですかね。

所属会社への恩と、今回の騒動について感じたことを言うのは別問題じゃないですか。
",0.8773515,0.805089,0.83966833
wrime_5816,最高の待ち受け。,pos,2,1,9,train,さいっこうの待ち受け,0.83132404,0.7750586,0.80220604
wrime_12390,かっきーのスーツ、かっこいいですね。,pos,1,1,17,train,かっきーのスーツ姿やべえなぁ。,0.8466631,0.83933127,0.8429813
wrime_29947,映画を見に行きたいな、大根監督の「サニー」や「高崎グラフィティ」が気になる。週末に久しぶりに芝居を見に行くから楽しみだ！インプットとアウトプットは大切です。,pos,1,1,71,train,映画観に行きたいなあ、大根監督のサニー、高崎グラフィティ、気になる。週末は久しぶりにお芝居を観に行くから楽しみだっ！インプットもアウトプットも大事。,0.9045701,0.9134944,0.9090104
